	SRR15570324	SRR15570325	SRR15570326	SRR15570327
ASV_1	4022	1016	3463	1292
ASV_2	4046	511	1404	289
ASV_3	0	1718	0	1762
ASV_4	1331	320	1454	108
ASV_5	41	1211	0	1850
ASV_6	19	1624	0	1270
ASV_7	851	375	1248	305
ASV_8	1869	0	762	0
ASV_9	846	770	560	197
ASV_10	28	1441	0	545
ASV_11	1559	91	94	62
ASV_12	209	996	0	452
ASV_13	507	0	1059	65
ASV_14	22	1099	0	456
ASV_15	79	931	6	532
ASV_16	15	0	1522	0
ASV_17	0	743	0	670
ASV_18	147	687	0	449
ASV_19	1109	0	153	0
ASV_20	212	96	859	85
ASV_21	0	0	1168	83
ASV_22	66	0	1119	50
ASV_23	399	354	273	141
ASV_24	468	178	454	64
ASV_25	0	1042	0	87
ASV_26	19	599	0	489
ASV_27	11	617	0	453
ASV_28	101	329	0	608
ASV_29	526	32	349	38
ASV_30	150	74	520	152
ASV_31	579	0	270	5
ASV_32	187	32	587	34
ASV_33	0	468	0	369
ASV_34	8	463	0	333
ASV_35	352	0	451	0
ASV_36	0	463	0	298
ASV_37	0	454	0	276
ASV_38	0	428	0	300
ASV_39	0	240	0	459
ASV_40	0	148	0	544
ASV_41	5	209	0	475
ASV_42	0	11	0	636
ASV_43	0	395	0	251
ASV_44	0	259	0	317
ASV_45	12	448	0	114
ASV_46	205	22	340	0
ASV_47	0	245	0	311
ASV_48	0	185	0	353
ASV_49	402	0	112	0
ASV_50	423	3	78	0
ASV_51	235	12	172	37
ASV_52	432	0	15	0
ASV_53	409	0	32	0
ASV_54	164	250	11	15
ASV_55	3	180	0	253
ASV_56	11	422	0	0
ASV_57	305	0	123	0
ASV_58	0	163	0	261
ASV_59	417	0	0	0
ASV_60	0	111	0	300
ASV_61	259	0	130	0
ASV_62	4	289	0	93
ASV_63	0	212	0	170
ASV_64	81	200	0	84
ASV_65	186	3	149	0
ASV_66	139	117	0	77
ASV_67	31	0	300	0
ASV_68	75	0	250	0
ASV_69	154	0	169	0
ASV_70	0	94	0	223
ASV_71	18	143	0	155
ASV_72	0	257	0	58
ASV_73	230	17	38	20
ASV_74	0	124	0	172
ASV_75	242	0	47	0
ASV_76	178	0	106	0
ASV_77	0	115	0	167
ASV_78	0	208	0	59
ASV_79	0	117	0	148
ASV_80	0	263	0	0
ASV_81	0	107	0	156
ASV_82	0	74	0	189
ASV_83	172	0	83	0
ASV_84	0	213	0	38
ASV_85	5	197	0	47
ASV_86	198	0	47	0
ASV_87	5	170	0	70
ASV_88	0	174	0	62
ASV_89	77	81	76	0
ASV_90	0	20	0	206
ASV_91	0	0	215	0
ASV_92	87	0	122	0
ASV_93	0	61	0	148
ASV_94	0	0	205	0
ASV_95	66	0	136	0
ASV_96	104	0	83	0
ASV_97	2	120	0	65
ASV_98	0	54	0	130
ASV_99	6	177	0	0
ASV_100	0	105	0	78
ASV_101	0	17	0	164
ASV_102	0	59	0	120
ASV_103	0	0	81	98
ASV_104	177	0	0	0
ASV_105	5	162	0	10
ASV_106	0	110	0	65
ASV_107	0	0	174	0
ASV_108	0	89	0	84
ASV_109	169	0	0	0
ASV_110	0	119	0	49
ASV_111	0	167	0	0
ASV_112	4	83	0	79
ASV_113	0	149	0	17
ASV_114	0	0	163	0
